TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2021062962068,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962133,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962142,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962269,No Injury,N,,BLACK,MALE,Physical Force,Y
2021064962025,No Injury,N,,BLACK,MALE,Physical Force,Y
2021064962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2021065962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2021065962248,No Injury,N,,BLACK,MALE,Physical Force,Y
2021066962080,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962053,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962124,No Injury,N,,BLACK,MALE,Physical Force,Y
2021068962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2021071962034,No Injury,N,,BLACK,MALE,Physical Force,Y
2021079962107,No Injury,N,,BLACK,MALE,Physical Force,Y
2021080962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2021090962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962157,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962229,No Injury,N,,BLACK,MALE,Physical Force,Y
2021095962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2021096962129,No Injury,N,,BLACK,MALE,Physical Force,Y
2021097962059,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962068,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962143,No Injury,N,,BLACK,MALE,Physical Force,Y
2021100962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2021102962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2021102962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2021107962029,No Injury,N,,BLACK,MALE,Physical Force,Y
2021113962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2021122962029,No Injury,N,,BLACK,MALE,Physical Force,Y
2021124962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2021124962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2021126962053,No Injury,N,,BLACK,MALE,Physical Force,Y
2021131962051,No Injury,N,,BLACK,MALE,Physical Force,Y
2021131962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021139962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2021139962141,No Injury,N,,BLACK,MALE,Physical Force,Y
2021140962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962024,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962085,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962094,No Injury,N,,BLACK,MALE,Physical Force,Y
2022024962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2022025962030,No Injury,N,,BLACK,MALE,Physical Force,Y
2022028962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2022029962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022029962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2022033962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2022033962193,No Injury,N,,BLACK,MALE,Physical Force,Y
2022037962024,No Injury,N,,BLACK,MALE,Physical Force,Y
2022038962027,No Injury,N,,BLACK,MALE,Physical Force,Y
2022038962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2022042962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2022044962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2022047962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2022049962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2022051962074,No Injury,N,,BLACK,MALE,Physical Force,Y
2022052962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2022060962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2022060962079,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962034,No Injury,N,,BLACK,MALE,Physical Force,Y
2022061962108,No Injury,N,,BLACK,MALE,Physical Force,Y
2022063962141,No Injury,N,,BLACK,MALE,Physical Force,Y
2022066962064,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962020,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962054,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962054,No Injury,N,,BLACK,MALE,Physical Force,Y
2022067962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2022079962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2022086962073,No Injury,N,,BLACK,MALE,Physical Force,Y
